shrimp,almonds,avocado,vegetables mix,green grapes,whole weat flour,yams,cottage cheese,energy drink,tomato juice,low fat yogurt,green tea,gates,salad,mineral water,salmon,antioxydant juice,frozen smoothie,spinach,govind
burgers,meatballs,eggs,,,,,,,,,,,,,,,,,
chutney,,,,,,,,,,,,,,,,,,,
turkey,avocado,,,,,,,,,,,,,,,,,,
mineral water,milk,energy bar,whole wheat rice,green tea,,,,,,,,,,,,,,,
low fat yogurt,,,,,,,,,,,,,,,,,,,
whole wheat nathan,french fries,,,,,,,,,,,,,,,,,,
soup,aniket,shallot,,,,,,,,,,,,,,,,,
frozen vegetables,spaghetti,green tea,,,,,,,,,,,,,,,,,
french fries,,,,,,,,,,,,,,,,,,,
eggs,pet food,,,,,,,,,,,,,,,,,,
cookies,,,,,,,,,,,,,,,,,,,
turkey,burgers,mineral water,eggs,cooking oil,,,,,,,,,,,,,,,
spaghetti,champagne,cookies,,,,,,,,,,,,,,,,,
mineral water,salmon,,,,,,,,,,,,,,,,,,
mineral water,,,,,,,,,,,,,,,,,,,
shrimp,chocolate,ujjwal,gates,oil,cooking oil,low fat yogurt,,,,,,,,,,,,,
turkey,eggs,,,,,,,,,,,,,,,,,,
turkey,fresh tuna,tomatoes,spaghetti,mineral water,black tea,salmon,eggs,ujjwal,extra dark chocolate,,,,,,,,,,
meatballs,milk,gates,french fries,protein bar,,,,,,,,,,,,,,,
red wine,shrimp,nathan,pepper,eggs,chocolate,shampoo,,,,,,,,,,,,,
rice,sparkling water,,,,,,,,,,,,,,,,,,
spaghetti,mineral water,ham,body spray,pancakes,green tea,,,,,,,,,,,,,,
burgers,grated cheese,shrimp,nathan,avocado,gates,white wine,toothpaste,,,,,,,,,,,,
eggs,,,,,,,,,,,,,,,,,,,
parmesan cheese,spaghetti,soup,avocado,milk,fresh bread,,,,,,,,,,,,,,
ground beef,spaghetti,mineral water,milk,energy bar,black tea,salmon,frozen smoothie,arun,,,,,,,,,,,
sparkling water,,,,,,,,,,,,,,,,,,,
mineral water,eggs,ujjwal,chocolate,french fries,,,,,,,,,,,,,,,
frozen vegetables,spaghetti,yams,mineral water,,,,,,,,,,,,,,,,
herb & pepper,tomato sauce,aniket,magazines,,,,,,,,,,,,,,,,
mineral water,chocolate,avocado,eggs,,,,,,,,,,,,,,,,
turkey,french fries,strawberries,,,,,,,,,,,,,,,,,
frozen vegetables,strong cheese,chocolate,,,,,,,,,,,,,,,,,
cookies,,,,,,,,,,,,,,,,,,,
pickles,spaghetti,salmon,arun,,,,,,,,,,,,,,,,
energy bar,french fries,,,,,,,,,,,,,,,,,,
red wine,ground beef,mineral water,,,,,,,,,,,,,,,,,
mineral water,cake,cottage cheese,,,,,,,,,,,,,,,,,
pickles,champagne,green tea,,,,,,,,,,,,,,,,,
spaghetti,,,,,,,,,,,,,,,,,,,
fresh tuna,frozen vegetables,spaghetti,mineral water,gates,whole wheat rice,frozen smoothie,arun,,,,,,,,,,,,
spaghetti,,,,,,,,,,,,,,,,,,,
soup,meatballs,hot dogs,sparkling water,,,,,,,,,,,,,,,,
arun,,,,,,,,,,,,,,,,,,,
soup,avocado,french fries,hot dogs,brownies,body spray,pancakes,green tea,,,,,,,,,,,,
